variable,coef,model
71,-0.054213927531727234,Baseline_LR
72,-0.04879796626415046,Baseline_LR
73,-0.031344721290833225,Baseline_LR
74,-0.09649592527535847,Baseline_LR
75,-0.03159265605012099,Baseline_LR
76,0.1044183839050125,Baseline_LR
77,0.22093554825743497,Baseline_LR
78,0.07871890296671534,Baseline_LR
79,0.05634621196347262,Baseline_LR
80,0.1524362629033413,Baseline_LR
81,0.0065930162814528195,Baseline_LR
82,-0.795456838588037,Baseline_LR
86,0.19292519829176477,Baseline_LR
87,-0.019074659395621724,Baseline_LR
88,0.3938414777134155,Baseline_LR
89,0.22570754371873067,Baseline_LR
90,-0.26990329543958397,Baseline_LR
91,0.16556788004112868,Baseline_LR
92,-0.11110339236272868,Baseline_LR
93,-0.14756798727195125,Baseline_LR
94,-0.016798755586491014,Baseline_LR
95,-0.1926418272811669,Baseline_LR
96,-0.5662065991628743,Baseline_LR
97,0.07191810663792882,Baseline_LR
98,-0.03861825601818043,Baseline_LR
99,-0.029616364685377025,Baseline_LR
ac,-0.3942526869030868,Baseline_LR
access,-0.008275911097569227,Baseline_LR
acqua,0.008741078104913322,Baseline_LR
aeg,0.052822416436775446,Baseline_LR
aesop,-0.004476085229089805,Baseline_LR
aga,0.05271178268376907,Baseline_LR
ages,0.023549677050509494,Baseline_LR
aid,0.019321856821489545,Baseline_LR
air,-0.08583912920795099,Baseline_LR
airbnb,-0.2640641369036616,Baseline_LR
airplay,-0.2434604688102614,Baseline_LR
alarm,0.026610633207496397,Baseline_LR
alberto,0.02060982949378352,Baseline_LR
alchemist,0.06257662791567839,Baseline_LR
alexa,-0.011870217939466035,Baseline_LR
allowed,0.020112906550573618,Baseline_LR
aloe,0.9715484973810196,Baseline_LR
amazon,-0.13458987934294475,Baseline_LR
american,0.08154610131413823,Baseline_LR
amica,0.26541865587282854,Baseline_LR
anker,0.20190515582549912,Baseline_LR
anyday,0.1778021814393197,Baseline_LR
apothecary,-0.0009204464702162108,Baseline_LR
apple,-0.056440029479630345,Baseline_LR
area,0.19222416842976833,Baseline_LR
aromacure,-0.06372604859604325,Baseline_LR
aromatherapy,-0.06287195163959136,Baseline_LR
asop,-0.04234174953184614,Baseline_LR
assisted,-0.7060284002674029,Baseline_LR
associates,-0.06287195163959136,Baseline_LR
assorted,-0.10945505938633053,Baseline_LR
audio,0.4847245638841484,Baseline_LR
aussie,0.0852083694254783,Baseline_LR
aux,-0.014309384439712991,Baseline_LR
availability,0.002841856726268727,Baseline_LR
available,-0.01500565552032481,Baseline_LR
aveda,-0.0559269508501065,Baseline_LR
aveeno,0.027932929589078427,Baseline_LR
baby,0.38869558991881575,Baseline_LR
babysitter,-0.01841820797441313,Baseline_LR
backyard,-0.017238515735601048,Baseline_LR
badedas,-0.3768758357211968,Baseline_LR
baking,0.8851254208182334,Baseline_LR
balcony,-0.00039019058137712743,Baseline_LR
balsam,-0.025606525447862523,Baseline_LR
bang,0.19825219442817751,Baseline_LR
bar,0.08074001140437129,Baseline_LR
barbecue,-0.03419575624577141,Baseline_LR
basic,-0.11522612082883801,Baseline_LR
basics,0.3168259549401306,Baseline_LR
bath,-0.3736774260164752,Baseline_LR
bathroom,0.04302266381234021,Baseline_LR
bathtub,0.03942674805654208,Baseline_LR
baylis,-0.5512569543032128,Baseline_LR
bbq,0.23550851618595123,Baseline_LR
beach,0.34700732673804585,Baseline_LR
beachfront,0.15631300630579043,Baseline_LR
beats,0.0012538699292178525,Baseline_LR
beauty,-0.024814289477759283,Baseline_LR
bed,-0.04433052735526639,Baseline_LR
bedroom,-0.2557021119069519,Baseline_LR
bee,0.13746833507240566,Baseline_LR
beko,-0.09441592596399989,Baseline_LR
belle,-0.03443607219863301,Baseline_LR
belling,-0.04778826603085822,Baseline_LR
bertazzoni,-0.10882839745852597,Baseline_LR
best,0.25541246450561667,Baseline_LR
bidet,0.03284192656433371,Baseline_LR
bikes,-0.04112630875027226,Baseline_LR
bio,0.022686696991240738,Baseline_LR
bioaromatique,0.022686696991240738,Baseline_LR
bioderma,0.0553545041040501,Baseline_LR
blankets,-0.3282914370959548,Baseline_LR
blue,-0.0435923837316286,Baseline_LR
bluetooth,0.019474679154257282,Baseline_LR
board,-0.0010122824931769491,Baseline_LR
boat,0.053739153226423385,Baseline_LR
